antioxidants	Oxygen	residues	oxidants
absorption	transpiration	evaporation	evaporation
vegetation	tissues	nutrients	photosynthesis
zygomorphic	endothermic	actinomorphic	ectothermic
matter receptors	consumption receptors	optic receptors	odor receptors
human growth hormone	chromosomes	sex cells	stem cells
poor conductors	electromagnets	super-insulators	superconductors
whole numbers	zeros	coefficients	exponents
metal	colour	light	sound
energy	greek	compound	nuclear
gas	mineral	liquid	chemical
cartilaginous joints	contraction joints	attraction joints	expansion joints
plasma	blood	sperm	milk
gout	dementia	diabetes	cancer
genetic recreation	duplication	genetic repeat	clone
space	equator	south magnetic pole	north magnetic pole
neurons	skin cells	nephrons	muscle
predestination equations	analogous equations	wave function	deterministic equations
combustion	decomposition	inflammation	dissociation
fission	electricity	gravitational fields	magnetic fields
calcium bonding	carbon bonding	helium bonding	hydrogen bonding
deep waves	volcanic waves	particle waves	seismic waves
fourth trimester	first trimester	second trimester	third trimester
taxonomy	solar system	plants	ecosystems
bone	cellulose	collagen	skin
phylum	class	domain	kingdom
explode	depart	melt	collide
legs	tail	gluteus	abdomen
radius	tip	compass	axis
fructose	gluclose	hydrolysis	pyruvate
length	longitude	latitude	direction
solid marrow	liquid marrow	attached marrow	bone marrow
glucose	protein	amylopectin	glycogen
sandy soil	xerophyte	loam	pedalfer
the vibration drop	amplitude	energy loss	the voltage drop
the ridges	the left side	the bottom	the walls
pollution precaution	lab organization	office politics	safety precaution
temperature	velocity	pressure	ph
insulin	red blood cells	urea	white blood cells
beans	flowers	fruits	leaves
oil	any liquid	saltwater	water
bivalves	arthropods	ciliate	protists
thumb	pelvis	foot	hand
in leaves	in folds	in stems	in cones
fibroblasts	golgi apparatus	veins	chloroplasts
the transform rate	time zone	reaction scale	the reaction rate
rainforest	tropical	arctic	mediterranean
sound	current	light	electricity
acidic	enzymatic	skeletal	anaerobic
liquid	solid	plasma	gas
migration	predation	intraspecies competition	human activities
geology	physiology	biology	chemistry
more	smaller	less	constant
proteins	magnesium	metabolic	cholesterol
hydrogen	fuel	carbon	energy
mixture	gas	solid	liquid
no medicine needed	no pain pills needed	no treatment needed	no surgery needed
creators	fertilizers	killers	as decomposers
efficient growth	component growth	lasting growth	logistic growth
neutrophils	dermis	Flexing	meninges
settle	evaporate	freeze	move
toxins	tumors	lesions	clots
mushrooms	sediments	crustaceans	algae
radiation levels	height levels	heat levels	decibel levels
plate divergence	transformation	tectonic movement	transform plate boundary
vibration	gravity	tension	friction
pulmonary capillaries	varicose veins	alveoli	lymph capillaries
earth	mars	uranus	neptune
ribosomes	cytoskeleton	mitochondria	cytoplasm
solute	pigment	osmotic	solvent
air	emissions	liquids	gas
roots	stems	leaves	flowers
habit	system	life-cycle	niche
abrasive	fluid	stable	dynamic
stomach	basil	secretion	lymph
three	four	one	two
total impact	blunt force	critical force	net force
consumption	absorption	contamination	light reactions
insects	reptiles	mammals	birds
neurotransmitter passage	dendritic gap	cell divide	the synapse
vapors	lipds	particles	hydrocarbons
B-complex	super foods	antioxidants	macronutrients
carry oxygen	transport messages	excrete waste	help digest food
osmosis	ionization	hydrolysis	solvation
cabri cells	organic cells	localweather cells	voltaic cells
extra alleles	one less chromosome	one isolated allele	one mutated allele
minerals	scratches	metals	sediment
axle	lever	pedal	pulley
neurotransmitters	nutrients	hormones	antioxidants
prime	negative	fractional	whole
alloys	insulators	electromagnets	electricity conductors
variability	cell division	mutation	heredity
clouds	the ocean	the moon	the sun
thermosphere	lithosphere	stratosphere	troposphere
visual placenta	altered placenta	Movement Placenta	complex placenta
seed	egg	nucleus	embryo
plasma	platlets	white blood cells	red blood cells
cold matter	hidden matter	black matter	dark matter
dissipate	dilute	evaporate	condense
throat	thorax	diaphragm	larnyx
gravity	vapor	precipitation	heat
carbon	argon	sulfur	oxygen
acceleration	momentum	intensity	velocity
a river	an eddy	a creek	a stream
microscopic	primitive	sexual	asexual
satellites	curves	ellipticals	orbits
Parietal	Temporal lobe	Occipital	frontal
spring	summer	autumn	winter
the color of the eggs	the size of the eggs	the location of the eggs	the temperature of the eggs
open and supergiant	closed and spherical	open and elliptical	open and globular
predators	climates	spores	pollinators
side on	head on	at a distance	at an angle
flour	fruit	oils	yeast
resist weight	support weight	drive weight	bear weight
food	water	carbon	oxygen
substrate	cell wall	stoma	membrane
genetic drift	spontaneous mutation	transgene effects	pleiotropic effects
yeast	bacteria	viruses	fungi
expressive nerve cells	grid nerve cells	muscle cells	sensory nerve cells
air, water, and socialization	sex, water, and sleep	water, food, and an ecosystem	air, water, and food
pores	sporozoans	bales	allopolyploids
covalent	magnesium	ionic	deuterium
metallic compounds	soluble compounds	magnetic compounds	ionic compounds
glycolysis	metamorphosis	osmosis	photosynthesis
resistance	weight	energy	pressure
molecular theory	Charles's Law	kinetic theory	kinetic molecular theory
digestion	accumulation	osmosis	absorption
cytoplasm	tadpoles	dna	sperm
Wheel Line	once driveshaft	Gear Shift	turning driveshaft
advancement	invention	industry	technology
secular and nonpolar	filter and nonpolar	hot and nonpolar	polar and nonpolar
string rule	diagonal rule	coupling rule	octet rule
a bend	a divert	a sink	a divide
incorporate immune system	societal immune system	suggestive immune system	adaptive immune system
intuitive	genuine	learned	innate
sex glands	push glands	water glands	sweat glands
cochlear arches	aquatic arches	scythian arches	branchial arches
liver output	respiratory output	blood output	cardiac output
pteradactyls	sporozoans	staurikosaurus	therapods
halogens	synthetics	noble gases	metalloids
viscosity	size	salinity	solubility
gaisers	trees	icebergs	active glaciers
oxygen	sodium	hydrogen	carbon
antimatter	essence	molecule	substance
the colon	the kidney	the brain	the liver
acidic	neutral	volatile	base
past balance	predicted return	actual loss	theoretical yield
mezas	megaliths	dunes	volcanoes
proteins body	Eye body	Environmental	cell body
light	magnetism	gravity	electricity
succulents	pores	sporozoans	xerophytes
vascular	autonomic	axons	sensory
sweat gland	melanin gland	gametes gland	sebaceous gland
perception	audio	fear	smell
208	196	192	206
roots	building	birds	plants
oxidation	inhibition	diffusion	conduction
microwave electrophoresis	surface electrophoresis	static electrophoresis	gel electrophoresis
scientific extreme	scientific mimicry	scientific fact	scientific skepticism
survival selection	natural evolution	fitness selection	natural selection
fundamental acids	ionic acids	carbonic acids	fatty acids
west and south	southwest and south	East and North	north and south
digestive system	honor system	checks and balances	reward system
magnetize electricity	repel electricity	deflect electricity	conduct electricity
speciation	transcription	mutation	differentiation
reversible	cancerous	observable	irreversible
five	six	four	five
polar	hydrogen	metallic	covalent
dermal	single celled	vegetative	epidermal
fungi	photoreactive plants	trees	nonvascular plants
frequency	threshold	variation	wavelength
detritivores	nematodes	carnivores	decomposers
proteins	life	organ	cell
methodology	terminology	botany	taxonomy
tendons	veins	ligaments	muscle
flood	pestilence	disease	drought
changes to gas	it shrinks	changes volume	it expands
appendix	colon	cecum	ileum
viscosity	density	resonance	buoyancy
generators	electricity	complexes	reactants
fusion	homogeneous mixture	symbiosis	mutualism
viscosity theory	vortex theory	Avoidance theory	kinetic theory
whales	dolphins	manatees	sharks
solutes	luminescent	Solar Energy	electroluminescence
granite	soil	fertilizer	magma
bone	nerve cells	cartilage	a layer of fat
water	base	citrus	acid
oxygen	carbon	helium	hydrogen
molecule	organism	function	element
amorphous	pliable	fibrous	porous
fuel	energy	habitat	food
membranes	atoms	neurons	tetrahedral
egg	placenta	testes	ovary
glycolysis	absorbtion	chlorophyll	photosynthesis
atom	molecule	nucleus	cell
overlap the earth	change size	lose orbit	orbit the earth
neurons	electrolytes	receptors	neurotransmitters
water	hydrogen	fuel	energy
pleasant	useful	lush	ideal
catalyst	pathway	receptor	inhibitor
six	four	three	five
fuel	gravity	enthalpy	energy
width continuity	bilateral continuity	directly continuity	lateral continuity
weight	radio	electricity	light
exotic	endotopic	warm	oceanic
quickly then slowly	quickly	slowly then quickly	slowly
cells	supermolecule	plasma	polymer
clouds and sand	ice and dust	coulds and minerals	clouds and dust
creating	creating	inhibiting	signaling
dieting	homeostasis	itching	sweating
industry	concept	evolution	technology
multiple fission	solar fission	residual fission	binary fission
structural acids	proteins acids	amino acids	nucleic acids
abdomen	cocklebur	spicule	pseudocoelom
skeletal system	circulation system	hormonal system	digestive system
Obesity	TB	Cancer	diabetes
basic remediation	toxic remediation	carbon remediation	chemical remediation
ocean vaporization	acid rain	desalinization	ocean acidification
respiratory muscle	idealized muscle	nerve muscle	cardiac muscle
circle	shell	atom	cell
temperature science	psychology	astronomy	physical science
water	horizon	earth	sun
white	pink	yellow	blue
germination	glucose	estrogen	progesterone
dense bombs	dirty bombs	TNT	nuclear
oils	acids	minerals	metals
it warms	it vibrates	it disperses	it cools
brain cells	hair and nail cells	egg cells	plant cells
insulation	spawning	fertilization	incubation
creep	slide	shearing	slump
liver	brain	kidneys	lungs
plasmology	spirogyra	xerophyte	plasmogamy
1	3	5	4
transition	parthenogenesis	proboscis	metamorphosis
plasma formula	atomic formula	nucleus formula	molecular formula
atoms	cells	molecules	organs
brightness	radiation	precipitation	temperature
turning to liquid	migrating	growing faster	going dormant
ions	molecules	electrons	atoms
eating plants or sediments	eating plants other animals	eating plants or bugs	eating plants or organisms
aqueous	lipophilic	neutral	hydrophobic
liver	bone marrow	pituitary gland	thymus gland
models	configuration	map	formula
propulsion	combustion	expansion	a collision
glandular	glaucous	homozygous	oviparous
carbohydrate	liquid nitrogen	blue ice	dry ice
water	light	food	matter
mixed	filled	cooled	heated
growth	evolution	interaction	nurture
decay numbers	gravity numbers	kinetic numbers	quantum numbers
cell substrate	cell center	cell vacuum	cell membrane
evaporation	boiling	melting	freezing
autotrophs	autosome	diploid	polyploid
sediments	lakes	oceans	glaciers
forming of stem cells	forming of brain cells	forming of muscle tissue	forming of reproductive cells
sound	seismic	tsunamis	electromagnetic
blood count	blood amount	blood form	blood type
underground	in volcanoes	in water	surface
sucrose	carbonate	peptide	phosphatase
Pathway and nervous	marrow and nervous	connectors and nervous	endocrine and nervous
coastal biomes	aquatic biomes	marine biomes	freshwater biomes
atoms	quarks	ions	electrons
basic	neutral	dioxide	acid
kinetic	olfactory	automatic	sensory
fossil fuels	erosion record	climate record	fossil record
virus	stones	inflammation	dialysis
vapor energy	potential energy	fission energy	ionization energy
regulatory	digestive	circulatory	nervous
inertia theory	conservtion of matter	Big Bang theory	kinetic theory of matter
tertiary	primary	quaternary	secondary
digestion	chemical processes	farming	photosynthesis
nanoevolution	minievolution	small evolution	microevolution
to protect their territory	to dissuade predators	to signal feeding	to attract mates
craters	escarpments	mantles	cratons
speed	color	weight	population
milky way	vesta belt	photon belt	kuiper belt
mammal	humans	living thing	fetus
ions	unstable	destructive	radioactive
formaldehyde	sulfuric acid	sulfur monoxide	sulfur dioxide (so2)
